City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,isafjordur,66.0755,-23.124,40.24,65,94,8.43,IS,overcast clouds
81,mutare,-18.9707,32.6709,61.65,84,100,5.23,ZW,overcast clouds
82,albany,42.6001,-73.9662,46.89,86,100,1.01,US,overcast clouds
83,cabo san lucas,22.8909,-109.9124,89.62,68,75,6.91,MX,broken clouds
84,oranjemund,-28.55,16.4333,59.4,77,2,10.49,NA,clear sky
85,sao joao da barra,-21.6403,-41.0511,77.09,95,81,2.71,BR,broken clouds
86,dawson creek,55.7666,-120.2362,42.44,56,20,2.3,CA,few clouds
87,puerto natales,-51.7236,-72.4875,44.08,51,64,3.78,CL,broken clouds
88,salalah,17.0151,54.0924,77.09,83,0,4.61,OM,clear sky
89,fort bragg,35.139,-79.006,82.54,49,0,10.36,US,clear sky
90,sulecin,52.4443,15.1168,53.31,80,100,8.25,PL,overcast clouds
91,geraldton,-28.7667,114.6,61.21,48,0,12.66,AU,clear sky
92,mili,6.0815,171.735,82.72,76,100,11.23,MH,light rain
93,mount isa,-20.7333,139.5,80.37,57,17,0.0,AU,few clouds
94,bamboo flat,11.7,92.7167,78.89,89,40,3.44,IN,mist
95,bilibino,68.0546,166.4372,13.64,56,76,6.42,RU,broken clouds
96,zambezi,-13.5432,23.1047,68.36,79,100,4.94,ZM,overcast clouds
97,nizhniy kuranakh,58.8353,125.4869,-11.15,100,83,2.19,RU,broken clouds
98,susuman,62.7833,148.1667,1.98,97,22,1.01,RU,few clouds
99,'alaqahdari dishu,30.4374,63.313,71.62,28,4,1.45,AF,clear sky
100,ko lanta,7.5336,99.0865,80.06,83,100,11.23,TH,overcast clouds
101,az zawr,29.4425,48.2747,81.95,62,100,4.97,KW,overcast clouds
102,marsabit,2.3284,37.9899,63.45,89,83,7.49,KE,moderate rain
103,markovo,57.3206,107.0881,18.1,69,93,2.64,RU,overcast clouds
104,shimoda,34.6667,138.95,60.1,74,72,4.16,JP,moderate rain
105,juegang,32.3174,121.1855,63.91,89,0,7.61,CN,clear sky
106,rayachoti,14.05,78.75,72.54,93,100,4.25,IN,overcast clouds
107,sao vicente,-23.9631,-46.3919,89.78,51,100,3.0,BR,overcast clouds
108,papatowai,-46.5619,169.4708,58.39,63,100,4.18,NZ,overcast clouds
109,manaure,11.7751,-72.4445,83.59,75,80,9.62,CO,broken clouds
110,utrik,11.2278,169.8474,82.54,80,73,19.22,MH,light rain
111,panguipulli,-39.6333,-72.3333,46.42,96,91,0.36,CL,overcast clouds
112,gobabis,-22.45,18.9667,69.57,14,1,10.25,NA,clear sky
113,arroyo,41.6096,-4.7969,48.6,88,0,11.5,ES,clear sky
114,kodiak,57.79,-152.4072,45.91,93,100,10.36,US,mist
115,kolomna,55.0794,38.7783,42.35,98,100,11.99,RU,overcast clouds
116,vaxjo,56.8777,14.8091,48.25,98,20,10.36,SE,few clouds
117,fale old settlement,-9.3852,-171.2468,82.94,78,51,14.79,TK,moderate rain
118,likiep,9.8251,169.3107,82.47,81,100,19.77,MH,moderate rain
119,aioun,16.6614,-9.6149,88.21,29,26,10.8,MR,scattered clouds
120,marijampole,54.5667,23.35,42.1,90,99,6.55,LT,overcast clouds
121,miles city,46.4083,-105.8406,29.37,69,40,16.11,US,scattered clouds
122,ancud,-41.8697,-73.8203,47.59,69,6,18.99,CL,light rain
123,kavaratti,10.5669,72.642,81.5,77,100,6.73,IN,overcast clouds
124,hasaki,35.7333,140.8333,57.29,59,0,5.01,JP,clear sky
125,margate,51.3813,1.3862,49.89,93,100,9.69,GB,overcast clouds
126,altamira,-3.2033,-52.2064,88.0,35,63,2.04,BR,broken clouds
127,bolkhov,53.4433,36.0044,47.64,91,62,10.63,RU,broken clouds
128,petropavlovsk-kamchatsky,53.0452,158.6483,32.59,82,0,11.01,RU,clear sky
129,arsin,40.9496,39.9276,62.13,82,0,3.44,TR,clear sky
130,kinablangan,7.6947,126.5503,76.57,83,88,3.78,PH,overcast clouds
131,tiksi,71.6872,128.8694,-7.06,100,21,3.78,RU,few clouds
132,klyuchi,52.2667,79.1667,43.93,91,100,9.04,RU,overcast clouds
133,talnakh,69.4865,88.3972,1.2,97,100,6.44,RU,overcast clouds
134,nong phai,15.9903,101.0618,72.79,93,99,2.73,TH,overcast clouds
135,atafu village,-8.5421,-172.5159,83.88,76,78,15.82,TK,light rain
136,olinda,-8.0089,-34.8553,80.33,69,20,14.97,BR,few clouds
137,hammerfest,70.6634,23.6821,34.25,86,40,12.66,NO,snow
138,remire-montjoly,4.9167,-52.2667,84.24,84,20,8.05,GF,few clouds
139,sinjar,36.3209,41.8754,72.88,35,99,2.39,IQ,overcast clouds
140,bayanaul,50.7889,75.6956,44.15,77,100,10.69,KZ,overcast clouds
141,tajerouine,35.8917,8.5528,64.9,51,99,7.05,TN,overcast clouds
142,atar,20.5169,-13.0499,85.51,16,45,2.84,MR,scattered clouds
143,colonia,50.9333,6.95,56.59,91,75,6.91,DE,broken clouds
144,tarko-sale,64.9225,77.785,7.11,95,9,3.56,RU,clear sky
145,alice springs,-23.7,133.8833,72.95,17,65,8.05,AU,broken clouds
146,tomatlan,19.9333,-105.25,84.94,71,46,10.07,MX,scattered clouds
147,polyarnyy,69.1989,33.4478,22.73,90,100,18.79,RU,light snow
148,lebu,-37.6167,-73.65,50.68,65,80,15.9,CL,broken clouds
149,onega,63.9061,38.1404,27.1,85,98,7.09,RU,overcast clouds
150,qaqortoq,60.7167,-46.0333,41.56,58,100,13.6,GL,overcast clouds
151,new norfolk,-42.7826,147.0587,51.93,81,60,7.99,AU,broken clouds
152,sumbe,-11.2061,13.8437,76.48,87,87,9.57,AO,overcast clouds
153,nagod,24.5667,80.6,68.25,52,25,3.15,IN,scattered clouds
154,tralee,52.2704,-9.7026,46.33,92,13,4.05,IE,few clouds
155,longyearbyen,78.2186,15.6401,31.84,80,100,10.36,SJ,light snow
156,saipan,15.1355,145.701,83.1,89,40,11.5,MP,scattered clouds
157,badger,64.8,-147.5333,35.37,83,100,0.0,US,overcast clouds
158,avarua,-21.2078,-159.775,77.05,73,75,19.57,CK,broken clouds
159,hancheng,32.5186,112.3522,62.02,72,3,4.72,CN,clear sky
160,guajara mirim,-10.7828,-65.3394,86.38,51,87,2.17,BR,overcast clouds
161,concepcion,-36.827,-73.0498,50.72,65,100,21.39,CL,overcast clouds
162,kishanpur,25.65,81.0167,71.49,53,64,3.76,IN,broken clouds
163,mount gambier,-37.8333,140.7667,52.97,58,77,9.6,AU,broken clouds
164,klaksvik,62.2266,-6.589,38.32,60,94,18.34,FO,overcast clouds
165,haiku-pauwela,20.9219,-156.3051,82.42,66,40,17.27,US,scattered clouds
166,el bauga,18.262,33.9081,82.18,25,53,12.17,SD,broken clouds
167,san borja,-14.8167,-66.85,96.01,35,100,8.52,BO,overcast clouds
168,raton,36.9034,-104.4391,44.94,33,0,8.05,US,clear sky
169,nyurba,63.2842,118.3319,-0.06,100,98,2.77,RU,overcast clouds
170,crane,31.3974,-102.3501,43.95,39,59,8.25,US,broken clouds
171,invercargill,-46.4,168.35,54.01,89,99,3.0,NZ,overcast clouds
172,ferkessedougou,9.6,-5.2,76.53,74,51,3.4,CI,broken clouds
173,meridian,43.6121,-116.3915,51.51,41,0,3.44,US,clear sky
174,douz,33.4663,9.0203,81.52,17,100,13.73,TN,overcast clouds
175,bousso,10.4795,16.7117,84.24,49,99,3.44,TD,overcast clouds
176,hawaiian paradise park,19.5933,-154.9731,81.91,85,100,9.22,US,overcast clouds
177,palmer,42.1584,-72.3287,50.99,86,75,4.61,US,broken clouds
178,phan rang-thap cham,11.5667,108.9833,75.06,87,100,3.8,VN,overcast clouds
179,okhotsk,59.3833,143.3,24.19,85,100,6.96,RU,overcast clouds
180,kruisfontein,-34.0033,24.7314,53.65,79,0,13.58,ZA,clear sky
181,callao,-12.0667,-77.15,70.09,68,0,19.57,PE,clear sky
182,kone,-21.0595,164.8658,73.89,56,96,4.34,NC,overcast clouds
183,redencao,-4.2258,-38.7306,75.87,74,66,5.46,BR,broken clouds
184,iskateley,67.6803,53.1512,20.01,95,98,10.0,RU,overcast clouds
185,zeya,53.75,127.2667,17.49,65,53,3.18,RU,broken clouds
186,sao jose da coroa grande,-8.8978,-35.1478,77.59,70,76,10.54,BR,broken clouds
187,kodinsk,58.6881,99.1844,14.43,86,11,3.71,RU,few clouds
188,rongelap,11.1635,166.8941,83.37,78,95,21.14,MH,light rain
189,sona,45.4388,10.8255,65.25,98,75,8.05,IT,light rain
190,sterling,39.0062,-77.4286,60.55,81,100,16.11,US,light rain
191,malango,-2.9627,119.9001,64.89,87,87,2.3,ID,overcast clouds
192,sarov,54.9358,43.3235,41.95,97,100,10.83,RU,overcast clouds
193,dickinson,29.4608,-95.0513,52.99,83,100,14.97,US,overcast clouds
194,escarcega,18.6089,-90.7454,87.6,48,27,8.9,MX,scattered clouds
195,mount pearl,47.5166,-52.7813,38.84,77,100,4.61,CA,light snow
196,constantia,44.1833,28.65,57.88,74,0,8.01,RO,clear sky
197,playa del ingles,27.7567,-15.5787,71.35,82,84,1.01,ES,broken clouds
198,le lavandou,43.137,6.366,59.74,80,6,16.11,FR,light rain
199,arno,60.1167,18.6333,38.79,97,100,21.5,SE,moderate rain
200,touros,-5.1989,-35.4608,77.9,75,22,15.14,BR,few clouds
201,selfoss,63.9331,-20.9971,33.04,80,24,6.78,IS,few clouds
202,shalkar,47.8288,59.6258,42.44,65,100,18.52,KZ,overcast clouds
203,hilo,19.7297,-155.09,82.13,82,100,9.22,US,overcast clouds
204,yaren,-0.5472,166.916,83.19,69,62,3.94,NR,broken clouds
205,necochea,-38.5473,-58.7368,50.79,54,2,6.96,AR,clear sky
206,puerto baquerizo moreno,-0.9,-89.6,79.79,74,75,9.22,EC,broken clouds
207,urangan,-25.3,152.9,72.12,68,1,14.56,AU,clear sky
208,kapa'a,22.0752,-159.319,84.52,70,40,10.36,US,light rain
209,mutoko,-17.397,32.2268,62.02,75,48,5.99,ZW,scattered clouds
210,zaragoza,41.6561,-0.8773,59.02,46,0,23.02,ES,clear sky
211,coquimbo,-29.9533,-71.3436,61.95,68,86,8.7,CL,overcast clouds
212,sinan,34.8262,126.1086,46.51,57,0,1.07,KR,clear sky
213,brookings,44.3114,-96.7984,41.18,49,100,19.57,US,overcast clouds
214,howard springs,-12.497,131.047,82.87,80,59,4.7,AU,broken clouds
215,amstetten,48.1229,14.8721,59.92,67,96,8.7,AT,light rain
216,medina,24.4686,39.6142,75.63,69,0,2.3,SA,clear sky
217,whitehorse,60.7161,-135.0538,36.1,93,100,6.91,CA,light snow
218,north bay,46.3168,-79.4663,37.11,67,40,6.91,CA,scattered clouds
